Name,Type,Price,Description,ImageName,ListDate
Heineken Lager - 12 bottles,Beer,32.40,"Smooth, nicely blended bitterness, clean finish. Wherever you go in the world, it’s always refreshing to see something you recognize. That green bottle, the red star, the smiling ‘e’… like an instant welcome from an old friend. Cold, fresh, high quality Heineken. Enjoyed near and far since 1873.",heineken_lager.jpeg,7/1/2021 12:00:00AM
Birra Moretti - 24 bottles,Beer,84.88,"Birra Moretti is brewed the traditional Italian way with an unchanged recipe since 1859. With a unique aroma, this bottom-fermented lager reflects the timeless Italian traditions of simple, yet exceptional ingredients.",birra_moretti.jpeg,7/3/2021 12:00:00AM
Tiger Beer - 24 bottles,Beer,53.99,"Tiger was born on the hot streets of Singapore - the tropical island city state - a busy trading destination and melting pot of Asian, Indian and British influences and culture. Our “tropical lagering” process brews a bravely creative and unpretentious lager.",tiger_beer.jpeg,7/5/2021 12:00:00AM
Duckhorn Napa Merlot 2002,Red Wine,179.99,"Highlighting estate vineyards and top Napa Valley sites, our renown Merlot reflects the diversity of the valley’s many appellations. Blending with Cabernet Sauvignon adds notable depth and structure, as well as signature flavors of black cherry, plum and spice.",duckhorn_napa_merlot_2002.png,7/7/2021 12:00:00AM
Blason de L' Evangile 2016 750ml,Red Wine,90.50,"Chateau L’Evangile is one of the oldest properties in Pomerol. In fact, Chateau L’Evangile has a long history dating all the way back to 1741. Chateau L’Evangile was founded by the Leglise family who resided in Libourne.
The first mention the Pomerol estate was under the name of Domaine de Fazilleau and later Le Domaine de L’Evangile ou de Fazilleau.
",blason_de_l'evangile_2016.png,7/9/2021 12:00:00AM
Chateau Latour Camblanes Cadillac Bordeaux 750ml,Red Wine,46.00,"Making up the majority of the blend, the Merlot varietal lends Latour Camblanes its refined, delicate profile. On the nose, pleasingly juicy red fruits are joined by finely nuanced spice. Velvety tannins underpin the wine’s bold fruit, bringing together freshly picked red berries, cocoa and cardamom. The wine’s tannic structure is finely balanced, supporting a harmonious finish.",chateau_latour_camblanes_cadillac_bordeaux.png,7/2/2021 12:00:00AM
Zonin - Fruili Pinot Gris/Grigio 750ml,White Wine,23.90,"Lightly dry yet extremely fresh. Its structure pleasantly balanced and elegant makes this an unusually refined and aristocratic wine. The grapes for the Zonin Fruili Pinot Gris/Grigio are subjected to a delicate crush and soft pressing with the use of presses operating under vacuum. Fermentation occurs at a controlled temperature of about 18°C (64°F), which preserves the fruitiness and the finest sensory characteristics of the wine. Injection of selected yeasts guarantees maximum quality of the wine’s aromas and flavors.",zonin_fruili_pinot_gris_grigio.png,7/4/2021 12:00:00AM
Cloudy Bay Sauvignon Blanc 2020 750ml,White Wine,71.00,"New Zealand's leading choice of Sauvignon Blanc and still going strong! The 2018 vintage enjoyed favourable climatic conditions during the harvesting period.
Thus allowing more steady ripening. The hand-picked fruits had ripe flavours, good concentration and great acid balance.
It is highly recommended to serve at a cold temperature but it can also be enjoyed on its own.",cloudy_bay_sauvignon_blanc_2020.png,7/6/2021 12:00:00AM
Mischief & Mayhem Meursault Premier Cru Blagny 750ml,White Wine,253.10,"Mischief & Mayhem Meursault was produced from Chardonnay vines with an average age of nearly 40 years, and spread between several excellent sites around villages of Meursault and planted in rocky limestone and marl soils.
Premier Cru wines are produced from Chardonnay grapes grown in strict conditions in Meursault premier vineyards.",mischief_&_mayhem_meursault_premier_cru_blagny.jpg,7/8/2021 12:00:00AM
Macallan M Decanter 700ml w/Gift Box,Whisky,"9,000.00","M is the iconic result of an unprecedented collaboration between three masters of their crafts who shared the same unique objective - to create the world's most sophisticated whisky contained in an exquisite, exclusively designed crystal decanter. A masterpiece of design, M is brought to conception by creative director and legendary designer Fabien Baron, brought to life by Lalique mastery of crystal and brought to purpose by The Macallan.",macallan_m_decanter.jpg,7/1/2021 12:00:00AM
Cragganmore 43 Year 700ml w/Wooden Gift Box,Whisky,"8,000.00","Cragganmore 43 Years Old is the oldest Cragganmore ever released by the original distiller, and Diageo believe it to be the oldest bottled as a single malt. From a hand-selected single cask release, just 474 bottles were produced and they are available exclusively in Paneco.com.",cragganmore.png,7/3/2021 12:00:00AM
The John Walker - Baccarat Crystal Decanter Blue Label 700ml w/ Gift Box,Whisky,"5,599.00","The John Walker is the ultimate celebration of progress - an enduring tribute to the life, vision and legacy of the man who started it all.

Known as the Founder’s Blend, it uses only whiskies that would have been familiar to John Walker in his lifetime, some of which come from distilleries that are now silent. Just nine distilleries in total contribute exquisitely-made whiskies, which are blended by hand using traditional methods and in extremely limited quantities, before being married together in a 100-year-old cask.

The blend itself is refined, sophisticated, supremely complex, yet harmonious. The magnificent presentation only hints at the experience to follow.",john_walker.jpg,7/5/2021 12:00:00AM
Absolut Vodka 1.75L,Vodka,46.80,"Absolut Vodka was first launched in New York in 1979. It soon became the talk of the town, in the US and eventually of the world. But the recipe behind the clean and natural taste of Absolut is actually older than 30 years. So is the 18th century medicine bottle found in an antique store in Stockholm, Sweden that gave inspiration to the iconic Absolut Vodka bottle.",absolut_vodka.jpeg,7/7/2021 12:00:00AM
Grey Goose Vodka 1.75L,Vodka,74.99,"Grey Goose® Vodka is a premium vodka, born of an extraordinary passion for spirit-making. It is created using only the finest French ingredients – the highest-grade wheat and pristine limestone-filtered spring water. It is a spirit of uncommon brilliance, unrivaled craftsmanship and signature smoothness and is an excellent choice as a gift.

Grey Goose® Vodka has an exquisite clear, fresh and elegantly aromatic taste. This is a premium vodka of unparalleled smoothness and exceptional taste, with subtle hints of almond and a long, satisfying finish.",grey_goose.jpg,7/9/2021 12:00:00AM
Smirnoff No.21 Vodka 1.75L,Vodka,41.50,"Whether you sip it on the rocks or with soda and a twist, Smirnoff No. 21 is the perfect addition to a cocktail party. Our award-winning, 80 proof vodka has robust flavor with a dry finish for ultimate smoothness and clarity.

Triple distilled and 10 times filtered, our vodka traditionally can be taken alone or added to your favorite mixed drink. Simply mix with ginger beer and lime juice for a classic Moscow Mule.

Founded in 1864, the Smirnoff brand traveled from Russia to the rest of the world due to our award-winning quality and smooth liquid. We pride ourselves on bringing our famous beverage to connoisseurs and newcomers alike, assuring the consistently great taste and quality expected from our traditionally distilled vodka. Please drink responsibly.",smirnoff_vodka.jpeg,7/2/2021 12:00:00AM
Hennessy VSOP 70cl,Brandy,120.00,"Hennessy Cognac VSOP Privilège is a cognac, which is a specific type of brandy produced in the town of Cognac, France. Production of cognac is strictly regulated by the BNIC, a French government institute. Brandy bearing the name """"""""Cognac"""""""" must be produced in Cognac, France and adhere to the following BNIC production rules: White wine used in crafting the spirit is fermented, then double distilled. The Aging must occur in Limousin oak barrels for at least 2 years, where the spirit picks up tannins, color, and complexity. Most cognacs are blends from multiple years. Label descriptions always refer to the age of the youngest eau-de-vie in the blend. Hennessy Cognac VSOP Privilège is categorized as a V.S.O.P cognac. VS. - more than 2 years. VSOP - more than 5 years. XO - more than 6 years.",hennessy_vsop.png,7/4/2021 12:00:00AM
